,Control_0,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Control_8,Control_9,Control_10,Control_11,Control_12,Control_13,Control_14,Control_15,Control_16,Control_17,Control_18,Control_19,Control_20,Control_21,Control_22,Control_23,Control_24,Control_25,Control_26,Control_27,Control_28,Control_29,Control_30,Control_31,Control_32,Control_33,Control_34,Control_35,Control_36,Control_37,Control_38,Control_39,Control_40,Control_41,Control_42,Control_43,Control_44,Control_45,Control_46,Control_47,Control_48,Control_49,AD_0,AD_1,AD_2,AD_3,AD_4,AD_5,AD_6,AD_7,AD_8,AD_9,AD_10,AD_11,AD_12,AD_13,AD_14,AD_15,AD_16,AD_17,AD_18,AD_19,AD_20,AD_21,AD_22,AD_23,AD_24,AD_25,AD_26,AD_27,AD_28,AD_29,AD_30,AD_31,AD_32,AD_33,AD_34,AD_35,AD_36,AD_37,AD_38,AD_39,AD_40,AD_41,AD_42,AD_43,AD_44,AD_45,AD_46,AD_47,AD_48,AD_49
AADACL4,28.54279182,27.83584284,28.22716986,28.4219049,27.99515593,28.51918517,27.76568136,28.03317865,28.21148252,28.20034152,28.16374814,27.77078536,27.80354792,28.34704837,27.80338882,28.21581826,27.91339297,28.15192168,28.1429071,28.23669742,28.06659215,27.72880598,27.92073196,28.24488573,28.0663997,28.04352048,27.7665358,27.60657622,27.95970372,28.10713461,27.84779304,27.87598036,28.1478979,28.46917533,27.95057933,27.58125999,28.53904074,28.0086917,28.15594403,27.93634745,27.82299699,27.9366356,28.10200753,28.27733397,27.92167374,28.72480603,28.21261702,28.45139559,28.16766092,27.94615354,28.29581712,28.11208556,28.22539392,28.12864561,27.65987356,28.33074053,28.40097242,27.71804387,27.80109865,28.09826185,28.51683262,28.29122401,27.71381496,27.73685267,28.08805076,28.03351048,28.30936351,28.61899033,28.23672301,27.41213087,27.95033203,28.44098883,28.09627634,28.05233792,28.98605808,27.65500679,28.65056668,28.01564552,28.26434713,27.80414403,27.67969285,28.29273858,28.28187467,28.16057211,27.84587404,28.52133948,27.94430295,27.85239063,28.31274422,28.15026216,27.98806771,28.1783469,28.55774245,28.60065069,28.58945184,27.96914586,28.34307033,28.18451418,28.80561289,27.59433687
AADAT,167.6185236,167.018173,166.4057114,167.8368975,166.3141388,167.1777893,166.6909327,166.7839438,166.5145964,166.4165594,166.9752075,167.4004989,166.376912,167.8442712,166.6410137,167.153102,166.6632678,165.9719566,166.9720686,166.8310191,166.5957847,166.5209745,166.661477,167.166458,166.1909621,165.8659141,165.9497939,165.330343,165.4604933,167.3205965,166.8196679,166.4541802,167.2656208,166.8523839,166.7735742,165.4228744,167.3090903,166.2856732,166.7362405,166.8379567,165.1135207,166.7513416,165.4706655,167.1960177,167.0598859,167.7413106,166.6851879,167.4763106,166.7276629,165.8608395,166.8988154,166.0016605,166.5564807,166.6402497,164.719192,167.1369567,167.2677084,165.9163375,166.605362,166.2589182,166.1721463,166.3303954,166.5915629,165.8692989,165.904684,165.9545677,167.3317429,166.9355032,165.8552376,164.8558476,167.2224786,166.5508765,166.1807107,165.1621805,168.1374761,166.0040029,167.5013778,167.5191881,166.3148381,166.1684754,167.2149782,165.5679032,167.3726853,166.3153549,166.3980979,167.0635007,166.4279493,166.4652004,167.0641958,166.5243211,166.0028122,166.0693393,167.2313465,167.1948824,167.6036508,165.6275761,167.4649592,167.2083708,168.7271963,166.7143961
AAED1,164.0641984,163.8349282,164.0816859,164.4088576,163.7116959,164.0295099,164.0190223,164.2556742,163.3485212,162.7267902,163.1342198,163.5804768,164.1822229,163.7240466,164.381266,164.0182798,163.6070922,163.838089,164.384703,163.4365354,164.2431146,162.9837025,164.3498471,163.7962787,163.1711757,163.205205,163.2335213,163.9207841,163.0823454,164.504527,164.4435433,163.8049073,163.9977608,164.4231797,163.6774452,164.6039993,164.2562653,163.8161463,164.6097995,164.0862563,164.6768556,162.9485229,163.9337339,164.7463051,163.471995,163.4959666,163.9676476,163.4723529,164.1196294,163.6724381,163.4814769,163.1978412,163.8954498,163.707957,163.760215,163.6788833,163.8978535,163.8204826,163.568639,163.4182261,163.9903501,164.1649588,163.8078406,163.0898713,163.2366838,163.0814062,163.9356254,164.2222124,163.4902112,162.5317537,163.2815199,163.5284084,164.0701514,163.2334484,164.8448066,163.0832217,164.444901,163.5905326,163.3590491,164.1620431,164.0329205,163.254163,163.8232267,164.7584907,163.5122356,164.3398708,164.6305139,163.3704534,164.1845598,165.0534953,163.1054454,163.6638529,163.748075,164.6485264,163.6762933,163.561488,163.5749552,163.1322221,164.3063311,165.0848114
AAGAB,1347.347316,1347.190869,1345.816002,1351.3849,1342.22598,1345.317177,1345.559649,1347.332324,1342.657795,1338.72619,1342.750789,1351.20576,1343.479138,1349.807535,1351.217354,1345.391331,1346.233308,1342.767911,1347.397638,1342.676626,1348.474164,1341.646061,1347.878828,1350.187472,1339.975576,1343.383275,1339.967381,1343.258168,1338.822639,1348.804223,1348.747593,1345.571557,1344.925569,1345.702683,1346.945668,1340.671287,1348.707899,1343.759705,1342.180876,1344.48218,1345.154742,1340.608688,1339.710127,1345.325546,1346.874096,1345.948548,1346.361851,1344.972986,1346.521601,1338.398586,1344.177004,1337.345356,1344.242999,1345.24129,1340.375403,1341.709291,1344.476825,1344.848881,1346.537948,1339.780749,1337.494577,1344.102773,1344.644569,1340.314536,1339.384606,1338.499174,1348.585007,1344.501702,1337.301553,1338.40443,1348.159548,1342.853592,1345.657866,1335.122867,1348.454798,1338.890225,1347.076918,1346.532592,1339.511613,1343.75051,1349.520391,1331.414216,1352.72098,1349.103712,1343.667557,1342.534463,1348.708342,1342.813416,1347.186886,1343.823539,1341.989487,1340.635333,1343.122907,1347.690114,1343.811201,1340.180568,1346.045794,1343.287934,1350.840645,1353.7701
AAK1,13.28688141,13.46958982,12.74547519,13.46001979,13.06690993,13.12618538,13.25588283,13.35179787,13.01320407,12.97420885,12.99446963,13.28679356,13.15742658,13.26595183,13.15711633,13.05398981,12.73950831,12.81579495,13.14823033,13.1383111,13.11794741,12.94235784,13.17120474,12.94789852,12.91315479,12.66146194,12.97404932,13.03668575,12.99417973,13.1318109,13.25950364,13.08256756,13.18545728,13.17451235,13.2099197,13.12103934,12.99199593,12.9179875,12.97718914,13.4740159,12.89924697,13.0260023,12.84518445,13.20820352,13.21663598,13.2037383,12.74377545,12.94174838,12.79234883,13.0021158,12.8700488,12.72399464,13.18751982,12.89003694,12.90914527,12.93898056,13.10127772,13.03464357,13.04043514,12.86595426,12.55960951,12.87103854,13.31118021,12.88592354,13.03454044,12.9689198,13.18943166,13.05052012,12.61874323,12.95033256,13.29161051,12.68952029,13.08517306,12.72086629,12.95787751,13.03671818,12.98640436,13.29624991,12.89529871,13.21656282,13.16443815,12.64637332,13.1147419,12.92083591,13.07117097,12.99516735,12.974221,13.10393751,13.12404674,13.24579572,12.87544455,13.05418908,12.81794088,12.88893442,12.95792506,12.87538766,13.0762973,12.94598514,13.17449006,13.37374607
AAMDC,513.3271858,512.0105765,514.8174834,515.9692337,512.8192118,512.7311457,514.4517149,512.8936293,518.0782288,515.3987723,512.6047742,516.9649019,511.4544029,513.9509157,514.4646462,513.4688978,513.3765387,514.2728722,513.742041,514.5898392,516.7692844,515.7383211,514.1068674,516.6823625,516.7290989,516.8122179,513.1417224,513.8917602,516.6877731,513.5305583,515.2593964,514.5122513,512.8328367,515.6935063,513.9047694,512.0590305,513.8457512,514.194762,509.7992507,514.7349418,516.4366946,514.706081,516.723788,512.4894132,513.7948347,516.3161933,512.2789451,512.5681748,514.7566236,513.5119821,514.9661729,512.257195,518.2540932,511.9020756,512.2123095,511.4227687,515.5334447,517.3322244,516.3056372,515.1855126,512.0030861,512.5618624,513.6584049,515.6964623,517.5035547,513.9463267,516.5702911,514.6945379,512.3297248,517.5044466,517.3174162,513.9275767,514.232686,515.2682248,515.9285602,513.6531503,517.1209118,513.8868754,513.5769697,512.5921208,515.786871,510.2574516,517.9576273,514.3917205,512.9672517,515.6903956,511.9327875,512.3862665,513.7078357,513.1532317,515.5486253,512.4832032,514.2455276,513.3490633,516.351684,518.4954175,514.5869602,513.767759,515.9476191,514.1171413
AAMP,432.2617197,433.2423271,433.559902,431.6302721,433.661697,431.486126,433.2809916,431.0358124,433.6933687,433.8496964,435.5614692,435.7241363,433.1203664,433.7359469,433.0998462,433.8776106,436.9155184,432.7795685,431.2251283,432.4814511,432.7102247,435.6521647,432.0662804,435.0340829,433.3448811,435.1341329,435.0179374,431.5552184,432.9541239,432.6738095,432.4680531,432.3978922,433.6234818,429.7176501,432.3233148,431.2863479,432.4510729,433.6117131,431.558463,432.106496,430.0439145,434.8945837,430.5895319,430.994406,434.4608247,432.2304766,434.4056441,435.0604065,433.1370884,432.0744603,434.4394551,434.5607375,431.2737029,434.1419197,432.1081672,433.4093153,431.6663877,434.1143426,434.8023536,432.3351247,432.5952506,432.0362092,433.5633086,434.8510234,431.9943188,432.9571161,433.4077034,429.7766699,433.6192417,436.1041248,434.6831503,433.3842856,431.5107684,432.6522161,430.9708748,434.1934155,430.736365,434.7492068,432.5162409,431.83325,435.3961296,432.0179438,434.2725354,431.0916601,434.2295495,431.1847996,432.6524561,434.9757346,431.2112557,428.8674386,435.0298092,432.2165164,433.3300571,431.2631243,433.358412,431.7275734,434.3389304,435.9040931,432.6349446,432.1461872
AANAT,1.405048635,0.939151717,1.085310693,1.250697584,0.928901109,1.128543943,0.928393331,0.942480426,1.211841445,1.065743073,1.262711284,0.825364808,1.345336579,1.125456024,0.862898709,1.410365394,0.866762203,1.328446096,1.14462732,0.990562969,1.173172191,0.723751002,1.112740581,1.132637041,0.81186103,0.97534594,1.072607106,0.765166813,1.096387507,0.888357023,0.821116345,0.883668988,1.176016068,0.994475189,1.008385301,1.229298384,1.188224157,1.186358509,1.077392478,1.292484085,1.111062257,0.871372631,1.020403887,1.410102549,1.100775538,1.518480069,1.074873627,1.134416389,0.881446994,1.086669387,0.935917243,1.266322096,1.342160844,1.114590625,0.903367189,1.018439245,1.251809819,1.007164295,0.662504498,0.799015185,1.272673923,1.163941916,0.980824685,0.859237424,1.218234457,1.181995557,1.346877426,1.30973823,1.15797484,0.980117122,0.690485599,1.00869192,1.139336358,1.083694952,1.224692095,1.009258565,1.139915567,0.963918788,1.026991701,1.166965684,0.883584105,1.035930034,0.928969948,1.087795621,0.945177967,1.374622802,1.169583855,0.943966056,1.368170389,1.006873375,0.922584403,1.181133308,1.181264938,1.272255643,1.325484527,0.859467028,1.057415194,1.377115797,1.243309114,0.873981779
AAR2,380.9226617,381.3614927,382.0556512,381.822672,381.3072819,380.9091168,383.1681977,381.9355613,383.0989717,382.5453195,381.2733309,382.7156891,382.8131436,381.229191,382.2641052,382.5095668,381.152172,382.5376246,383.234805,382.3688875,382.6437022,383.707787,383.1735251,381.7194848,383.3233697,382.1933644,382.3304704,383.1709614,382.7651362,382.3956911,383.0164674,383.4784716,382.0850836,382.4468354,382.9853895,383.960217,381.1210743,382.7636858,382.4824826,382.9499061,384.2042921,383.1583536,384.0232649,383.0061418,382.1330743,382.1977903,381.2210857,380.6047728,382.7954159,383.274868,381.749516,382.2670704,384.0254872,381.1932441,381.6359326,381.6535418,383.5787789,383.4834151,382.7720732,383.7029659,381.9230195,381.6053609,382.7405182,383.3568205,383.958495,383.0066452,382.4006727,382.7642999,382.1068196,382.9745375,382.1977162,381.4534622,382.0952103,382.9969982,382.1233236,383.699793,383.5369193,381.8461565,382.351636,383.0115105,383.5753507,381.9449428,381.295446,382.3852132,381.8617363,383.6923037,381.9733863,381.1625643,382.9105155,383.4053014,381.6293301,381.2268498,382.1647829,381.897453,383.082208,384.6618247,381.6290697,382.2850651,382.2165587,382.9226353
AARD,62.00102886,62.4431507,61.99543916,62.37311092,62.41379226,61.68577352,62.26816182,62.07381517,62.42152499,61.93630501,61.88171856,62.72083344,61.78893399,62.07451358,62.32552758,61.86611604,62.15901129,61.70660551,61.4598125,62.00460664,62.33542128,62.01319747,61.81222477,62.40798968,62.15003725,62.26374311,62.23015939,61.97722549,62.44230667,61.87474491,62.42624445,61.76960168,62.00184414,62.0898404,61.69462829,61.885346,61.91504174,61.93816671,61.2871178,62.2283008,61.99172589,61.92104665,61.85114413,61.4283089,61.88496129,61.76616682,61.77343991,61.98336148,61.63389794,61.69666561,62.20831758,61.62862772,62.10118022,61.64499,62.25418652,61.39335055,61.45508093,62.8079068,62.59269816,61.55992381,61.33494516,61.75405082,62.29042647,62.15692398,61.93887837,61.74013261,62.31946009,61.43359076,61.63290888,62.99372677,62.76959693,61.60076671,61.97332586,61.87942161,61.61809122,61.60726032,61.5323332,62.22539334,61.69227952,61.88457895,62.2706324,61.04638427,62.74342449,61.755484,62.02286633,61.59197513,61.63611747,62.25811701,61.26673107,61.80459326,62.55823496,62.04398761,61.51835542,61.39022115,61.60121979,62.07133397,62.21067618,61.64281338,61.64638961,62.56643531
AARS,7520.108399,7521.652311,7548.789017,7523.199516,7519.932755,7507.66007,7544.064904,7520.09257,7531.789667,7520.248333,7532.67787,7548.078119,7553.867751,7535.58573,7541.178666,7566.102007,7541.817332,7536.377813,7551.496581,7528.893212,7525.991629,7552.014887,7547.232626,7543.945795,7532.544076,7527.718335,7536.617509,7519.784287,7502.340744,7551.522659,7545.364461,7549.575126,7548.161162,7523.97125,7541.626938,7552.331294,7539.723808,7551.165801,7565.447754,7514.437908,7540.025765,7545.680843,7530.120691,7553.562574,7525.254366,7529.792373,7554.432774,7543.020838,7556.205718,7527.863921,7545.32071,7548.587956,7531.516284,7532.0272,7500.043765,7540.229718,7551.695291,7547.104114,7545.554068,7542.937817,7548.86707,7537.303086,7531.95746,7536.794007,7517.833815,7532.957034,7542.948281,7538.980903,7549.568458,7501.687687,7518.74791,7529.890526,7515.41448,7511.306566,7554.236242,7532.263182,7555.979979,7530.347827,7532.724636,7538.225719,7567.352379,7515.431782,7521.063724,7537.461818,7520.246383,7560.181575,7543.205148,7511.966297,7544.967983,7543.537603,7516.563259,7504.218325,7551.34259,7550.76905,7555.674885,7536.979672,7545.965884,7552.768712,7557.597993,7557.505152
